,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
count,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0,754584.0
mean,0.008640719577670097,0.095428466796875,-0.41622889041900635,0.5411598086357117,0.9206091814416087,21.826653633772295,0.09891440719366074,0.8914592908933003,0.005101739655196823,8.204987781347073,13.886401619496477,42.347835540771484,-53.848243713378906,-0.0005622502649202943,182.27867275213893,0.005347334404902403,-0.0008552887800803705
std,0.027405576780438423,0.06088200584053993,0.35739821195602417,0.43865811824798584,3.6385437773292684,10.06357607385388,0.06209096312522888,0.22495286481402732,0.00750956841209228,3.266404604786796,20.3401832703643,25.527196884155273,38.23286819458008,0.011345654726028442,23.74705703368793,0.8121039137520382,0.013276733319101479
min,-0.49619045853614807,0.0011811949079856277,-6.803082466125488,0.0,-19.10270298125723,-0.7915516028519702,0.001230862457305193,0.055182770162028306,1.582664594934613e-07,0.0,0.0015208033155431622,0.11569809913635254,-382.4692077636719,-0.4884892404079437,31.0,-24.938983917236328,-0.33471169138601103
25%,-0.010230457410216331,0.0519532784819603,-0.5797985792160034,0.19387707114219666,-2.9110720443225637,15.849055768545476,0.054776862263679504,0.732264341250916,0.0010697636753320694,5.0,3.058388039469719,24.11471939086914,-70.66830444335938,-0.0017557077808305621,167.0,-0.13075869530439377,-0.0025279437336484137
50%,0.011086155194789171,0.08323163539171219,-0.2964128851890564,0.42498618364334106,2.118480506337564,20.982501858733844,0.08673108369112015,0.8959009301843028,0.0027566379867494106,7.5,7.662855193018913,37.751861572265625,-43.874521255493164,-0.00030008069006726146,182.0,-0.0036133482353761792,-0.0004743214704414851
75%,0.02642345568165183,0.12570449709892273,-0.15635265782475471,0.7661655843257904,4.152039592554436,26.73396664485691,0.1297076940536499,1.0359792046373257,0.00629102042876184,10.0,17.13964867591858,55.03455352783203,-27.047637939453125,0.0009373463690280914,197.0,0.12205217964947224,0.001305033966541539
max,0.217067688703537,0.9078693985939026,0.0,4.927416801452637,19.98326609860959,446.3046356796243,0.9315518140792847,2.1288423459206545,0.3195117115974426,47.5,868.2792791128159,271.33404541015625,-0.31290289759635925,0.2862069606781006,433.0,14.77947473526001,0.30930855226964227
